x,y,id,year
14.016727,12.34356,7d295eef9a14d66dabc44fc705ed5a0d,
8.99634,13.704758,123801839d673186e1c66a96058a3c93,
13.48655,10.647074,0913c9fe9eddd30478ef06bc7178da84,
16.465458,14.0956545,70a24a740b12d0e99bc9bba782e561b5,
8.874336,12.647249,8dad9519c7441f536617c4a66be2ad70,
11.680946,13.935046,985adcc5c1417d551068185c61a4b5a4,
15.674591,14.377795,0f2e4601e9a3610128f1dba20818124b,
12.885271,13.462761,9efae5de51e7fe6eddb4cf7925750de3,
8.771304,13.757205,1acb5410a116cf2cdbe6b978ab5511d5,
8.226046,13.222637,3cb44de9bc4434c3b6669a76ed804b22,
8.467758,12.879222,97807d8664492b9f332888b55c88cc11,
14.062249,12.876207,384e6bde955c19d5acb518cb78f5f48d,
8.221805,12.428699,0b03082a7037dd8d5d069a1088015171,
12.191341,13.998982,381452b3f5652207ebe36315798a5921,
7.8612566,12.907207,9443439e8223089df1f2126eed75e4a4,
14.930024,14.382564,b70556274658bb72f237c0553ce51ee9,
16.391853,15.083603,55c215027b879ff093b527a037dde5f2,
13.705053,14.356005,d541645868e6875cac462f284b75dafe,
8.21843,12.622074,6eb561ec692babad2033f4358ee0840c,
12.08784,12.639244,784f62e563de085b568b60281c32d861,
13.391357,10.902991,7feed71ab98a3cc80c5de4179272145c,
14.88676,12.719476,88d5a357c33dde8dffb7fcb3be1fff63,
15.00937,12.988919,32323566f3f8003df5abb2ba6fe47de5,
15.036777,12.922003,26726abf1509baef0595f682f40a8601,
13.543142,14.033671,b81ae263722ac84804fce2baedab51e0,
14.682357,12.554957,3f87ad1e9dcedf4e4f5022135b74470e,
14.803794,12.779263,180c5d02ab3345f0d9d1833928977191,
16.250465,14.55154,15f6d3a66368bb35e19ce74e972e8dae,
12.647853,9.263755,ecd45f951a3e59aebf187d5a501131af,
14.9843855,14.295332,ad3250ccaa54dfadeea10d8bb6014b13,
12.705685,9.480681,3e17f138a0429b585805bbb254895b26,
12.176204,9.783217,e1b1da38b42f9acfc0e5b6298e451b46,
12.473494,9.292154,5d2d37b93d1fc503d9c9f9abf5178d6f,
12.396945,9.403717,3c6d453c221a2f6a87b817bd6e926823,
12.770318,9.735352,1332acfd8a51c13ee72b2782694aa368,
8.905863,13.052146,13f18b94e11823c60e0dcb0af84e6524,
